id,umbrella_id,readable_name,img_link
affenpinscher,affenpinscher,Affenpinscher,https://images.dog.ceo/breeds/affenpinscher/n02110627_12997.jpg
african/wild,african,African (Wild),https://images.dog.ceo/breeds/african-wild/n02116738_10614.jpg
airedale,airedale,Airedale,https://images.dog.ceo/breeds/airedale/n02096051_2170.jpg
akita,akita,Akita,https://images.dog.ceo/breeds/akita/512px-Akita_inu.jpg
appenzeller,appenzeller,Appenzeller,https://images.dog.ceo/breeds/appenzeller/n02107908_754.jpg
australian/kelpie,australian,Australian (Kelpie),https://images.dog.ceo/breeds/australian-kelpie/Resized_20200416_142905_108884348190285.jpg
australian/shepherd,australian,Australian (Shepherd),https://images.dog.ceo/breeds/australian-shepherd/pepper.jpg
bakharwal/indian,bakharwal,Bakharwal (Indian),https://images.dog.ceo/breeds/bakharwal-indian/Bakharwal.jpg
basenji,basenji,Basenji,https://images.dog.ceo/breeds/basenji/n02110806_1845.jpg
beagle,beagle,Beagle,https://images.dog.ceo/breeds/beagle/n02088364_6611.jpg
bluetick,bluetick,Bluetick,https://images.dog.ceo/breeds/bluetick/n02088632_679.jpg
borzoi,borzoi,Borzoi,https://images.dog.ceo/breeds/borzoi/n02090622_7172.jpg
bouvier,bouvier,Bouvier,https://images.dog.ceo/breeds/bouvier/n02106382_312.jpg
boxer,boxer,Boxer,https://images.dog.ceo/breeds/boxer/n02108089_9076.jpg
brabancon,brabancon,Brabancon,https://images.dog.ceo/breeds/brabancon/n02112706_350.jpg
briard,briard,Briard,https://images.dog.ceo/breeds/briard/n02105251_6805.jpg
buhund/norwegian,buhund,Buhund (Norwegian),https://images.dog.ceo/breeds/buhund-norwegian/hakon3.jpg
bulldog/boston,bulldog,Bulldog (Boston),https://images.dog.ceo/breeds/bulldog-boston/n02096585_8323.jpg
bulldog/english,bulldog,Bulldog (English),https://images.dog.ceo/breeds/bulldog-english/bunz.jpg
bulldog/french,bulldog,Bulldog (French),https://images.dog.ceo/breeds/bulldog-french/n02108915_1612.jpg
bullterrier/staffordshire,bullterrier,Bullterrier (Staffordshire),https://images.dog.ceo/breeds/bullterrier-staffordshire/n02093256_13858.jpg
cattledog/australian,cattledog,Cattledog (Australian),https://images.dog.ceo/breeds/cattledog-australian/IMG_7506.jpg
cavapoo,cavapoo,Cavapoo,https://images.dog.ceo/breeds/cavapoo/lulu2.jpg
chihuahua,chihuahua,Chihuahua,https://images.dog.ceo/breeds/chihuahua/n02085620_6399.jpg
chippiparai/indian,chippiparai,Chippiparai (Indian),https://images.dog.ceo/breeds/chippiparai-indian/Indian-Chippiparai.jpg
chow,chow,Chow,https://images.dog.ceo/breeds/chow/n02112137_2411.jpg
clumber,clumber,Clumber,https://images.dog.ceo/breeds/clumber/n02101556_2894.jpg
cockapoo,cockapoo,Cockapoo,https://images.dog.ceo/breeds/cockapoo/Guri5.jpg
collie/border,collie,Collie (Border),https://images.dog.ceo/breeds/collie-border/n02106166_1975.jpg
coonhound,coonhound,Coonhound,https://images.dog.ceo/breeds/coonhound/n02089078_1967.jpg
corgi/cardigan,corgi,Corgi (Cardigan),https://images.dog.ceo/breeds/corgi-cardigan/n02113186_7480.jpg
cotondetulear,cotondetulear,Cotondetulear,https://images.dog.ceo/breeds/cotondetulear/IMAG1063.jpg
dachshund,dachshund,Dachshund,https://images.dog.ceo/breeds/dachshund/dachshund-6.jpg
dalmatian,dalmatian,Dalmatian,https://images.dog.ceo/breeds/dalmatian/cooper1.jpg
dane/great,dane,Dane (Great),https://images.dog.ceo/breeds/dane-great/dane-0.jpg
danish/swedish,danish,Danish (Swedish),https://images.dog.ceo/breeds/danish-swedish-farmdog/ebba_004.jpg
deerhound/scottish,deerhound,Deerhound (Scottish),https://images.dog.ceo/breeds/deerhound-scottish/n02092002_6585.jpg
dhole,dhole,Dhole,https://images.dog.ceo/breeds/dhole/n02115913_676.jpg
dingo,dingo,Dingo,https://images.dog.ceo/breeds/dingo/n02115641_2788.jpg
doberman,doberman,Doberman,https://images.dog.ceo/breeds/doberman/n02107142_2779.jpg
elkhound/norwegian,elkhound,Elkhound (Norwegian),https://images.dog.ceo/breeds/elkhound-norwegian/n02091467_3104.jpg
entlebucher,entlebucher,Entlebucher,https://images.dog.ceo/breeds/entlebucher/n02108000_1885.jpg
eskimo,eskimo,Eskimo,https://images.dog.ceo/breeds/eskimo/n02109961_12338.jpg
finnish/lapphund,finnish,Finnish (Lapphund),https://images.dog.ceo/breeds/finnish-lapphund/mochilamvan.jpg
frise/bichon,frise,Frise (Bichon),https://images.dog.ceo/breeds/frise-bichon/1.jpg
gaddi/indian,gaddi,Gaddi (Indian),https://images.dog.ceo/breeds/gaddi-indian/Gaddi.jpg
german/shepherd,german,German (Shepherd),https://images.dog.ceo/breeds/german-shepherd/n02106662_21432.jpg
greyhound/indian,greyhound,Greyhound (Indian),https://images.dog.ceo/breeds/greyhound-indian/rampur-greyhound.jpg
greyhound/italian,greyhound,Greyhound (Italian),https://images.dog.ceo/breeds/greyhound-italian/n02091032_12113.jpg
groenendael,groenendael,Groenendael,https://images.dog.ceo/breeds/groenendael/n02105056_7435.jpg
havanese,havanese,Havanese,https://images.dog.ceo/breeds/havanese/00100trPORTRAIT_00100_BURST20191112123933390_COVER.jpg
hound/afghan,hound,Hound (Afghan),https://images.dog.ceo/breeds/hound-afghan/n02088094_251.jpg
hound/basset,hound,Hound (Basset),https://images.dog.ceo/breeds/hound-basset/n02088238_4182.jpg
hound/blood,hound,Hound (Blood),https://images.dog.ceo/breeds/hound-blood/n02088466_9334.jpg
hound/english,hound,Hound (English),https://images.dog.ceo/breeds/hound-english/n02089973_1375.jpg
hound/ibizan,hound,Hound (Ibizan),https://images.dog.ceo/breeds/hound-ibizan/n02091244_2038.jpg
hound/plott,hound,Hound (Plott),https://images.dog.ceo/breeds/hound-plott/hhh-23456.jpg
hound/walker,hound,Hound (Walker),https://images.dog.ceo/breeds/hound-walker/n02089867_2142.jpg
husky,husky,Husky,https://images.dog.ceo/breeds/husky/n02110185_2728.jpg
keeshond,keeshond,Keeshond,https://images.dog.ceo/breeds/keeshond/n02112350_8077.jpg
kelpie,kelpie,Kelpie,https://images.dog.ceo/breeds/kelpie/n02105412_4038.jpg
kombai,kombai,Kombai,https://images.dog.ceo/breeds/kombai/Kombai-indian-Dog.jpg
komondor,komondor,Komondor,https://images.dog.ceo/breeds/komondor/n02105505_3698.jpg
kuvasz,kuvasz,Kuvasz,https://images.dog.ceo/breeds/kuvasz/n02104029_4660.jpg
labradoodle,labradoodle,Labradoodle,https://images.dog.ceo/breeds/labradoodle/labradoodle-forrest.jpg
labrador,labrador,Labrador,https://images.dog.ceo/breeds/labrador/n02099712_6644.jpg
leonberg,leonberg,Leonberg,https://images.dog.ceo/breeds/leonberg/n02111129_3498.jpg
lhasa,lhasa,Lhasa,https://images.dog.ceo/breeds/lhasa/n02098413_14191.jpg
malamute,malamute,Malamute,https://images.dog.ceo/breeds/malamute/n02110063_938.jpg
malinois,malinois,Malinois,https://images.dog.ceo/breeds/malinois/n02105162_5913.jpg
maltese,maltese,Maltese,https://images.dog.ceo/breeds/maltese/n02085936_1247.jpg
mastiff/bull,mastiff,Mastiff (Bull),https://images.dog.ceo/breeds/mastiff-bull/n02108422_1548.jpg
mastiff/english,mastiff,Mastiff (English),https://images.dog.ceo/breeds/mastiff-english/1.jpg
mastiff/indian,mastiff,Mastiff (Indian),https://images.dog.ceo/breeds/mastiff-indian/Indian_Mastiff.jpg
mastiff/tibetan,mastiff,Mastiff (Tibetan),https://images.dog.ceo/breeds/mastiff-tibetan/n02108551_572.jpg
